¼±¼ö¸í,Æ÷Áö¼Ç,scoring,assist,shooting,shootontarget,insidepashoot,outsidepashoot,freekick,cornerkick,throwin,dribble,keypass,forwardpass,backpass,lateralpass,attackareapass,defensiveareapass,centerareapass,longpass,middistancepass,shortpass,cross,offpressure,groundduel,airduel,tackle,clearing,intercept,block,acquisition,block,miss,foul,fouled
±èÅÂÈ¯,0,0,0.000777604977,0.00680404355,0.000777604977,0.0034992224,0.00330482115,0.00816485226,0,0.0853421462,0.00816485226,0.00641524106,0.153965785,0.156104199,0.20625972,0.160381026,0.0917573872,0.264191291,0.0410186625,0.169129082,0.30618196,0.0379082426,0.0034992224,0.0204121306,0.0221617418,0.0221617418,0.0219673406,0.0295489891,0.0153576983,0.0491835148,0.0200233281,0.00524883359,0.0110808709,0.00816485226
¼­Áø¼ö,1,0.00361532899,0,0.0159074476,0.00795372379,0.0115690528,0.00433839479,0.0014461316,0,0.0101229212,0.025307303,0.010845987,0.107736804,0.0918293565,0.124367317,0.128705712,0.0245842372,0.170643529,0.0238611714,0.0759219089,0.224150398,0.032537961,0.0101229212,0.0375994215,0.0441070137,0.0347071584,0.0130151844,0.0173535792,0.00939985539,0.0469992769,0.0130151844,0.0151843818,0.00867678959,0.0173535792
¹Ú»óÇõ,1,0.00133155792,0,0.0213049268,0.00532623169,0.0106524634,0.0106524634,0.00399467377,0.00399467377,0.00266311585,0.0106524634,0.00532623169,0.0918774967,0.133155792,0.131824234,0.139813582,0.0279627164,0.189081225,0.0226364847,0.0918774967,0.242343542,0.0199733688,0.00532623169,0.017310253,0.0399467377,0.0239680426,0.00133155792,0.0186418109,0.0239680426,0.0625832224,0.0239680426,0.00665778961,0.017310253,0.017310253
Á¤ÇöÃ¶,0,0.000709723208,0,0.00567778566,0.000709723208,0.00354861604,0.00212916962,0.017033357,0,0.00283889283,0,0.000709723208,0.17033357,0.100070972,0.344925479,0.0695528744,0.110007097,0.43577005,0.0624556423,0.230660043,0.322214336,0.00212916962,0.00354861604,0.0276792051,0.0567778566,0.0276792051,0.0404542229,0.0425833925,0.0234208659,0.0745209368,0.0298083747,0.00425833925,0.0120652945,0.00354861604
ÀÌ¿ë,0,0,0.00110803324,0.00166204986,0,0.00055401662,0.00110803324,0.0282548476,0.0199445983,0.0808864266,0.00387811634,0.0121883657,0.289196676,0.124099723,0.249307479,0.0969529086,0.153462604,0.412188366,0.108033241,0.281440443,0.273130194,0.0725761773,0.00110803324,0.0254847645,0.0332409972,0.0288088643,0.0398891967,0.0382271468,0.0349030471,0.048199446,0.0227146814,0.00387811634,0.0138504155,0.00664819945
È²¼ø¹Î,0,0,0.00229357798,0.00458715596,0,0.00229357798,0.00229357798,0.00917431193,0,0.0435779817,0.00917431193,0.00458715596,0.149082569,0.139908257,0.176605505,0.0871559633,0.0848623853,0.293577982,0.0298165138,0.126146789,0.309633028,0.0229357798,0,0.0160550459,0.0137614679,0.0435779817,0.0275229358,0.0114678899,0.0206422018,0.0504587156,0.0275229358,0.00917431193,0.0137614679,0.00917431193
ÀÌÁ¾¼º,1,0.00100250627,0,0.0045112782,0.0015037594,0.0015037594,0.0030075188,0.0145363409,0,0.00100250627,0.00100250627,0.0045112782,0.211528822,0.0857142857,0.271177945,0.0596491228,0.115789474,0.392982456,0.0977443609,0.193483709,0.277192982,0.00802005013,0.0015037594,0.0175438596,0.0195488722,0.0320802005,0.0230576441,0.0395989975,0.0220551378,0.0892230576,0.0275689223,0.00401002506,0.019047619,0.0175438596
¿¬Á¦¿î,0,0.000604229607,0.000604229607,0.00120845921,0.000604229607,0.000604229607,0.000604229607,0.0163141994,0,0.00120845921,0.000604229607,0.00181268882,0.219335347,0.0731117825,0.348036254,0.0181268882,0.26223565,0.360120846,0.117824773,0.290634441,0.232024169,0.00241691843,0.00604229607,0.0235649547,0.0435045317,0.016918429,0.070694864,0.0495468278,0.0217522659,0.0344410876,0.0296072508,0.00241691843,0.00483383686,0.00604229607
ÀÌÁöÈÆ,2,0,0,0.00661703888,0.00165425972,0.00496277916,0.00165425972,0.00165425972,0.00165425972,0.052936311,0.0107526882,0.0041356493,0.124896609,0.109181141,0.0976013234,0.100909843,0.0620347395,0.168734491,0.0248138958,0.104218362,0.202646816,0.0190239868,0.00248138958,0.0322580645,0.0181968569,0.0206782465,0.011579818,0.0124069479,0.0107526882,0.0405293631,0.0198511166,0.00744416873,0.00578990902,0.0148883375
¸íÁØÀç,1,0.00482315113,0,0.00964630225,0.00803858521,0.00803858521,0.00160771704,0.00160771704,0,0.0225080386,0.0112540193,0.0192926045,0.102893891,0.0900321543,0.106109325,0.160771704,0.0337620579,0.104501608,0.0160771704,0.077170418,0.205787781,0.0273311897,0.00643086817,0.0225080386,0.0241157556,0.0144694534,0.00803858521,0.0128617363,0.0144694534,0.0578778135,0.0209003215,0.00643086817,0.0176848875,0.0337620579
